mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
0.7,"34 km E of West Yellowstone, Montana",1647734134480,1647879062340,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60486452,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60486452&format=geojson,,,,,reviewed,0,8,uu,60486452,",uu60486452,",",uu,",",origin,phase-data,",8.0,0.05402,0.06,107.0,md,earthquake,"M 0.7 - 34 km E of West Yellowstone, Montana"
0.66,"35 km E of West Yellowstone, Montana",1647734077610,1647868068830,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60486447,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60486447&format=geojson,,,,,reviewed,0,7,uu,60486447,",uu60486447,",",uu,",",origin,phase-data,",12.0,0.05416,0.15,69.0,md,earthquake,"M 0.7 - 35 km E of West Yellowstone, Montana"
4.6,"130 km E of Yamada, Japan",1647734029540,1647735286040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h63k,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h63k&format=geojson,,,,,reviewed,0,326,us,6000h63k,",us6000h63k,",",us,",",origin,phase-data,",,2.263,0.53,146.0,mb,earthquake,"M 4.6 - 130 km E of Yamada, Japan"
2.26,"6km W of Walker, CA",1647733571230,1647802694551,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707946,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707946&format=geojson,3.0,2.7,,,reviewed,0,79,nc,73707946,",nc73707946,nn00835684,",",nc,nn,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",14.0,0.04915,0.09,72.0,md,earthquake,"M 2.3 - 6km W of Walker, CA"
0.83,"6km SW of Idyllwild, CA",1647733325440,1647783304524,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39972591,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39972591&format=geojson,,,,,reviewed,0,11,ci,39972591,",ci39972591,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.03998,0.23,71.0,ml,earthquake,"M 0.8 - 6km SW of Idyllwild, CA"
1.7,"38 km E of Chase, Alaska",1647733020888,1647733178298,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0223ldtyzp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0223ldtyzp&format=geojson,,,,,automatic,0,44,ak,0223ldtyzp,",ak0223ldtyzp,",",ak,",",origin,phase-data,",,,0.76,,ml,earthquake,"M 1.7 - 38 km E of Chase, Alaska"
0.95,"26km ENE of Alum Rock, CA",1647732998650,1647835634861,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707941,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707941&format=geojson,,,,,reviewed,0,14,nc,73707941,",nc73707941,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",28.0,0.05717,0.08,61.0,md,earthquake,"M 1.0 - 26km ENE of Alum Rock, CA"
0.85,"7km WNW of Cobb, CA",1647732634990,1647733695523,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707936,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707936&format=geojson,,,,,automatic,0,11,nc,73707936,",nc73707936,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.007902,0.01,65.0,md,earthquake,"M 0.9 - 7km WNW of Cobb, CA"
1.6,"81 km NNW of Yakutat, Alaska",1647732047344,1647732200191,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0223ldqffp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0223ldqffp&format=geojson,,,,,automatic,0,39,ak,0223ldqffp,",ak0223ldqffp,",",ak,",",origin,phase-data,",,,0.95,,ml,earthquake,"M 1.6 - 81 km NNW of Yakutat, Alaska"
0.74,"60 km SE of Pedro Bay, Alaska",1647730966040,1647882883170,,https://earthquake.usgs.gov/earthquakes/eventpage/av91516996,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91516996&format=geojson,,,,,reviewed,0,8,av,91516996,",av91516996,",",av,",",origin,phase-data,",4.0,,0.03,131.0,ml,earthquake,"M 0.7 - 60 km SE of Pedro Bay, Alaska"
2.1,"57 km S of Whites City, New Mexico",1647730266712,1647754464317,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022fmkz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022fmkz&format=geojson,,,,,reviewed,0,68,tx,2022fmkz,",tx2022fmkz,",",tx,",",origin,phase-data,",14.0,0.03970897118,0.1,90.0,ml,earthquake,"M 2.1 - 57 km S of Whites City, New Mexico"
2.36,"20 km SW of Atka, Alaska",1647729526220,1647882250940,,https://earthquake.usgs.gov/earthquakes/eventpage/av91516986,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91516986&format=geojson,,,,,reviewed,0,86,av,91516986,",av91516986,",",av,",",origin,phase-data,",10.0,,0.11,217.0,ml,earthquake,"M 2.4 - 20 km SW of Atka, Alaska"
1.75,"5 km ESE of P?hala, Hawaii",1647728923100,1647729125350,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72955992,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72955992&format=geojson,,,,,automatic,0,47,hv,72955992,",hv72955992,",",hv,",",origin,phase-data,",29.0,,0.109999999,164.0,md,earthquake,"M 1.8 - 5 km ESE of P?hala, Hawaii"
4.5,"12 km N of Jordán, Colombia",1647728572287,1647747775479,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h63b,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h63b&format=geojson,1.0,2.2,,,reviewed,0,312,us,6000h63b,",us6000h63b,",",us,",",dyfi,origin,phase-data,",,0.946,0.61,47.0,mb,earthquake,"M 4.5 - 12 km N of Jordán, Colombia"
1.47,"20km ESE of Little Lake, CA",1647728513350,1647884225265,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39972559,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39972559&format=geojson,,,,,reviewed,0,33,ci,39972559,",ci39972559,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.07067,0.12,73.0,ml,earthquake,"M 1.5 - 20km ESE of Little Lake, CA"
0.33,"38 km NNE of Amboy, Washington",1647727967200,1647745609910,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61814692,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61814692&format=geojson,,,,,reviewed,0,2,uw,61814692,",uw61814692,",",uw,",",origin,phase-data,",11.0,0.0112,0.15,73.0,ml,earthquake,"M 0.3 - 38 km NNE of Amboy, Washington"
2.58,"3 km S of Indios, Puerto Rico",1647726775140,1647728542530,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71340898,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71340898&format=geojson,,,,,reviewed,0,102,pr,71340898,",pr71340898,",",pr,",",origin,phase-data,",23.0,,0.17,183.0,md,earthquake,"M 2.6 - 3 km S of Indios, Puerto Rico"
0.19,"3km SW of Anderson Springs, CA",1647726674240,1647808335148,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707926,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707926&format=geojson,,,,,reviewed,0,1,nc,73707926,",nc73707926,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.007279,0.04,56.0,md,earthquake,"M 0.2 - 3km SW of Anderson Springs, CA"
3.12,"49 km WSW of Captain Cook, Hawaii",1647726667060,1647799884945,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72955967,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72955967&format=geojson,8.0,2.7,,,automatic,0,152,hv,72955967,",hv72955967,us6000h633,",",hv,us,",",dyfi,origin,phase-data,",50.0,,0.180000007,249.0,ml,earthquake,"M 3.1 - 49 km WSW of Captain Cook, Hawaii"
1.29,"4km SW of Anderson Springs, CA",1647726661180,1647729136057,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707921,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707921&format=geojson,,,,,automatic,0,26,nc,73707921,",nc73707921,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.01382,0.07,191.0,md,earthquake,"M 1.3 - 4km SW of Anderson Springs, CA"
0.78,"6km S of Pearblossom, CA",1647725923860,1647883986325,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39972535,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39972535&format=geojson,,,,,reviewed,0,9,ci,39972535,",ci39972535,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.04331,0.09,69.0,ml,earthquake,"M 0.8 - 6km S of Pearblossom, CA"
1.33,"5km SSW of Frazier Park, CA",1647725733560,1647883593523,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39972527,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39972527&format=geojson,,,,,reviewed,0,27,ci,39972527,",ci39972527,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.009667,0.19,92.0,ml,earthquake,"M 1.3 - 5km SSW of Frazier Park, CA"
2.57,"Rat Islands, Aleutian Islands, Alaska",1647725398590,1647881707230,,https://earthquake.usgs.gov/earthquakes/eventpage/av91516891,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91516891&format=geojson,,,,,reviewed,0,102,av,91516891,",av91516891,",",av,",",origin,phase-data,",11.0,,0.18,315.0,ml,earthquake,"M 2.6 - Rat Islands, Aleutian Islands, Alaska"
